exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,bimestre,tipo
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitasDeValoresMobiliarios,Valores Mobiliários,10.89,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitasDeValoresMobiliarios,Valores Mobiliários,1162596.81,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ReceitasDeValoresMobiliarios,Valores Mobiliários,10.89,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitasDeValoresMobiliarios,Valores Mobiliários,9515403.19,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,OutrasReceitasPatrimoniais,Demais Receitas Patrimoniais,720000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),OutrasReceitasPatrimoniais,Demais Receitas Patrimoniais,720000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),OutrasReceitasPatrimoniais,Demais Receitas Patrimoniais,720000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitaDeServicos,RECEITA DE SERVIÇOS,2208000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitaDeServicos,RECEITA DE SERVIÇOS,2208000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitaDeServicos,RECEITA DE SERVIÇOS,202992.28,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitaDeServicos,RECEITA DE SERVIÇOS,9.19,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitaDeServicos,RECEITA DE SERVIÇOS,202992.28,2018,1,Receita
